document_a,document_b,jaccard_similarity,text_a,text_b
1866,4574,1.0,"Teenage comments in response to our recent writing prompts, and an invitation to join the ongoing conversation.","Teenage comments in response to our recent writing prompts, and an invitation to join the ongoing conversation."
1621,3714,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
3714,4480,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
2330,4129,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
43,4391,1.0,Recent residential sales in New York City and the region.,Recent residential sales in New York City and the region.
2214,4573,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
4129,4359,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
1689,3714,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
672,1844,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
134,4905,1.0,"Appointment viewing is back. Find out what online events to look for today, and when to tune in.","Appointment viewing is back. Find out what online events to look for today, and when to tune in."
3044,3104,1.0,Recent residential sales in New York City and the region.,Recent residential sales in New York City and the region.
4353,4480,0.6,Live updates on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
1602,3314,1.0,"Teenage comments in response to our recent writing prompts, and an invitation to join the ongoing conversation.","Teenage comments in response to our recent writing prompts, and an invitation to join the ongoing conversation."
983,1844,0.6,Live updates on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
1064,1689,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
1844,3094,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
3019,4480,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
1621,1844,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
1756,4131,1.0,A look at one of the entries from last week’s puzzles that stumped our solvers.,A look at one of the entries from last week’s puzzles that stumped our solvers.
43,4516,1.0,Recent residential sales in New York City and the region.,Recent residential sales in New York City and the region.
2204,3104,1.0,Recent residential sales in New York City and the region.,Recent residential sales in New York City and the region.
1689,1844,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
521,3094,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
1103,4353,0.6,The latest on stock market and business news during the coronavirus outbreak.,Live updates on stock market and business news during the coronavirus outbreak.
1142,4353,0.6,The latest on stock market and business news during the coronavirus outbreak.,Live updates on stock market and business news during the coronavirus outbreak.
3860,4039,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
2566,4359,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
2214,2330,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
672,1142,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
2575,3141,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
1554,2204,1.0,Recent residential sales in New York City and the region.,Recent residential sales in New York City and the region.
2149,3307,0.7857142857142857,"Teenage comments in response to our recent writing prompts, and an invitation to join the conversation.","Teenage comments in response to our recent writing prompts, and an invitation to join the ongoing conversation."
1103,1621,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
3714,4353,0.6,The latest on stock market and business news during the coronavirus outbreak.,Live updates on stock market and business news during the coronavirus outbreak.
404,2248,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
521,1103,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
2566,3860,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
1204,2575,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
3314,4257,1.0,"Teenage comments in response to our recent writing prompts, and an invitation to join the ongoing conversation.","Teenage comments in response to our recent writing prompts, and an invitation to join the ongoing conversation."
2009,3552,1.0,What story does this image inspire for you?,What story does this image inspire for you?
2248,3141,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
4129,4573,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
3269,4380,1.0,A look at one of the entries from last week’s puzzles that stumped our solvers.,A look at one of the entries from last week’s puzzles that stumped our solvers.
1844,4378,0.6,The latest on stock market and business news during the coronavirus outbreak.,Live updates on stock market and business news during the coronavirus outbreak.
2575,4039,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
2629,4684,0.6153846153846154,"John-Clark Levin makes his New York Times Crossword debut, ably assisted by Jeff Chen.","Lee Higbie makes his New York Times Crossword debut, ably assisted by Jeff Chen."
295,521,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
3089,3860,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
4131,4380,1.0,A look at one of the entries from last week’s puzzles that stumped our solvers.,A look at one of the entries from last week’s puzzles that stumped our solvers.
521,4378,0.6,The latest on stock market and business news during the coronavirus outbreak.,Live updates on stock market and business news during the coronavirus outbreak.
295,1689,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
1064,3094,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
167,1689,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
1224,2009,1.0,What story does this image inspire for you?,What story does this image inspire for you?
1103,3714,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
2248,4039,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
404,4359,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
1554,4391,1.0,Recent residential sales in New York City and the region.,Recent residential sales in New York City and the region.
3094,3714,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
1866,4257,1.0,"Teenage comments in response to our recent writing prompts, and an invitation to join the ongoing conversation.","Teenage comments in response to our recent writing prompts, and an invitation to join the ongoing conversation."
1768,2940,0.8888888888888888,"To participate, submit your response here by June 19 at 9 a.m. Eastern. This week’s winners will be announced on June 30.","To participate, submit your response here by June 26 at 9 a.m. Eastern. This week’s winners will be announced on July 7."
1204,4039,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
404,3141,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
1064,1103,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
2575,4573,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
3089,4129,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
1756,1757,1.0,A look at one of the entries from last week’s puzzles that stumped our solvers.,A look at one of the entries from last week’s puzzles that stumped our solvers.
365,3307,1.0,"Teenage comments in response to our recent writing prompts, and an invitation to join the ongoing conversation.","Teenage comments in response to our recent writing prompts, and an invitation to join the ongoing conversation."
2149,4977,0.7857142857142857,"Teenage comments in response to our recent writing prompts, and an invitation to join the conversation.","Teenage comments in response to our recent writing prompts, and an invitation to join the ongoing conversation."
3307,3314,1.0,"Teenage comments in response to our recent writing prompts, and an invitation to join the ongoing conversation.","Teenage comments in response to our recent writing prompts, and an invitation to join the ongoing conversation."
4257,4977,1.0,"Teenage comments in response to our recent writing prompts, and an invitation to join the ongoing conversation.","Teenage comments in response to our recent writing prompts, and an invitation to join the ongoing conversation."
2382,3979,1.0,What story does this image inspire for you?,What story does this image inspire for you?
1103,1844,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
672,983,0.6,The latest on stock market and business news during the coronavirus outbreak.,Live updates on stock market and business news during the coronavirus outbreak.
1064,4378,0.6,The latest on stock market and business news during the coronavirus outbreak.,Live updates on stock market and business news during the coronavirus outbreak.
3253,4367,1.0,What story could this image tell?,What story could this image tell?
2248,4573,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
1142,1844,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
1844,4480,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
404,4039,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
983,1689,0.6,Live updates on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
1621,1689,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
1554,4516,1.0,Recent residential sales in New York City and the region.,Recent residential sales in New York City and the region.
2382,4500,1.0,What story does this image inspire for you?,What story does this image inspire for you?
1602,4574,1.0,"Teenage comments in response to our recent writing prompts, and an invitation to join the ongoing conversation.","Teenage comments in response to our recent writing prompts, and an invitation to join the ongoing conversation."
1866,2149,0.7857142857142857,"Teenage comments in response to our recent writing prompts, and an invitation to join the ongoing conversation.","Teenage comments in response to our recent writing prompts, and an invitation to join the conversation."
2214,3860,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
404,1204,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
521,4480,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
295,3094,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
167,3094,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
2214,2566,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
1689,3019,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
3552,3979,1.0,What story does this image inspire for you?,What story does this image inspire for you?
2214,2575,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
1074,1394,0.782608695652174,How can you get your cultural fix when many arts institutions remain closed? Our writers offer suggestions for what to listen to and watch.,"How can you get your cultural fix when many arts institutions remain closed? Our writers offer suggestions for what to listen to, read and watch."
3552,4500,1.0,What story does this image inspire for you?,What story does this image inspire for you?
2204,4391,1.0,Recent residential sales in New York City and the region.,Recent residential sales in New York City and the region.
3104,4391,1.0,Recent residential sales in New York City and the region.,Recent residential sales in New York City and the region.
4378,4480,0.6,Live updates on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
4039,4129,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
206,4198,1.0,Two of our correspondents break down highlights from the Democrats’ first virtual convention.,Two of our correspondents break down highlights from the Democrats’ first virtual convention.
672,3714,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
2575,3089,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
1844,3019,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
167,1103,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
404,4573,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
2214,4129,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
521,3019,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
2248,2330,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
404,2214,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
134,3531,1.0,"Appointment viewing is back. Find out what online events to look for today, and when to tune in.","Appointment viewing is back. Find out what online events to look for today, and when to tune in."
2330,3141,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
983,3714,0.6,Live updates on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
295,4378,0.6,The latest on stock market and business news during the coronavirus outbreak.,Live updates on stock market and business news during the coronavirus outbreak.
2248,3089,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
167,4378,0.6,The latest on stock market and business news during the coronavirus outbreak.,Live updates on stock market and business news during the coronavirus outbreak.
1064,4480,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
626,3104,1.0,Recent residential sales in New York City and the region.,Recent residential sales in New York City and the region.
983,3094,0.6,Live updates on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
672,1103,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
43,626,1.0,Recent residential sales in New York City and the region.,Recent residential sales in New York City and the region.
1621,3094,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
1866,3307,1.0,"Teenage comments in response to our recent writing prompts, and an invitation to join the ongoing conversation.","Teenage comments in response to our recent writing prompts, and an invitation to join the ongoing conversation."
3104,4516,1.0,Recent residential sales in New York City and the region.,Recent residential sales in New York City and the region.
3860,4359,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
1689,3094,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
521,4353,0.6,The latest on stock market and business news during the coronavirus outbreak.,Live updates on stock market and business news during the coronavirus outbreak.
521,1064,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
3141,4129,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
2330,4039,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
1756,3269,1.0,A look at one of the entries from last week’s puzzles that stumped our solvers.,A look at one of the entries from last week’s puzzles that stumped our solvers.
4391,4516,1.0,Recent residential sales in New York City and the region.,Recent residential sales in New York City and the region.
1224,3552,1.0,What story does this image inspire for you?,What story does this image inspire for you?
672,4378,0.6,The latest on stock market and business news during the coronavirus outbreak.,Live updates on stock market and business news during the coronavirus outbreak.
404,2330,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
983,1103,0.6,Live updates on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
3314,4977,1.0,"Teenage comments in response to our recent writing prompts, and an invitation to join the ongoing conversation.","Teenage comments in response to our recent writing prompts, and an invitation to join the ongoing conversation."
365,1602,1.0,"Teenage comments in response to our recent writing prompts, and an invitation to join the ongoing conversation.","Teenage comments in response to our recent writing prompts, and an invitation to join the ongoing conversation."
1064,3019,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
404,3089,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
1204,2248,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
3307,4574,1.0,"Teenage comments in response to our recent writing prompts, and an invitation to join the ongoing conversation.","Teenage comments in response to our recent writing prompts, and an invitation to join the ongoing conversation."
2575,4359,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
983,4378,1.0,Live updates on stock market and business news during the coronavirus outbreak.,Live updates on stock market and business news during the coronavirus outbreak.
1103,1689,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
1621,4378,0.6,The latest on stock market and business news during the coronavirus outbreak.,Live updates on stock market and business news during the coronavirus outbreak.
1051,4131,1.0,A look at one of the entries from last week’s puzzles that stumped our solvers.,A look at one of the entries from last week’s puzzles that stumped our solvers.
2330,4573,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
4359,4573,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
1689,4378,0.6,The latest on stock market and business news during the coronavirus outbreak.,Live updates on stock market and business news during the coronavirus outbreak.
295,4480,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
167,4480,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
1757,4131,1.0,A look at one of the entries from last week’s puzzles that stumped our solvers.,A look at one of the entries from last week’s puzzles that stumped our solvers.
1602,4257,1.0,"Teenage comments in response to our recent writing prompts, and an invitation to join the ongoing conversation.","Teenage comments in response to our recent writing prompts, and an invitation to join the ongoing conversation."
1142,1621,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
2248,4359,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
2575,3860,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
626,3044,1.0,Recent residential sales in New York City and the region.,Recent residential sales in New York City and the region.
1866,4977,1.0,"Teenage comments in response to our recent writing prompts, and an invitation to join the ongoing conversation.","Teenage comments in response to our recent writing prompts, and an invitation to join the ongoing conversation."
2009,3979,1.0,What story does this image inspire for you?,What story does this image inspire for you?
2566,2575,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
1204,4359,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
260,2940,0.5454545454545454,"To participate, submit your response here by July 17 at 9 a.m. Eastern. This week’s winners will be announced on July 28.","To participate, submit your response here by June 26 at 9 a.m. Eastern. This week’s winners will be announced on July 7."
2009,4500,1.0,What story does this image inspire for you?,What story does this image inspire for you?
3860,4573,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
672,4480,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
2248,3860,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
1204,3141,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
167,521,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
4574,4977,1.0,"Teenage comments in response to our recent writing prompts, and an invitation to join the ongoing conversation.","Teenage comments in response to our recent writing prompts, and an invitation to join the ongoing conversation."
1602,1866,1.0,"Teenage comments in response to our recent writing prompts, and an invitation to join the ongoing conversation.","Teenage comments in response to our recent writing prompts, and an invitation to join the ongoing conversation."
295,3019,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
167,3019,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
3019,4353,0.6,The latest on stock market and business news during the coronavirus outbreak.,Live updates on stock market and business news during the coronavirus outbreak.
2566,4129,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
1602,2149,0.7857142857142857,"Teenage comments in response to our recent writing prompts, and an invitation to join the ongoing conversation.","Teenage comments in response to our recent writing prompts, and an invitation to join the conversation."
1142,3714,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
1103,3094,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
983,4480,0.6,Live updates on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
3089,3141,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
1621,4480,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
2330,3089,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
43,3104,1.0,Recent residential sales in New York City and the region.,Recent residential sales in New York City and the region.
3531,4905,1.0,"Appointment viewing is back. Find out what online events to look for today, and when to tune in.","Appointment viewing is back. Find out what online events to look for today, and when to tune in."
1689,4480,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
672,1689,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
2214,2248,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
672,3019,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
295,4353,0.6,The latest on stock market and business news during the coronavirus outbreak.,Live updates on stock market and business news during the coronavirus outbreak.
295,1064,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
404,3860,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
167,1064,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
404,2566,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
3089,4039,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
3044,4391,1.0,Recent residential sales in New York City and the region.,Recent residential sales in New York City and the region.
983,3019,0.6,Live updates on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
1621,3019,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
1204,4573,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
1103,4378,0.6,The latest on stock market and business news during the coronavirus outbreak.,Live updates on stock market and business news during the coronavirus outbreak.
521,1142,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
1602,3307,1.0,"Teenage comments in response to our recent writing prompts, and an invitation to join the ongoing conversation.","Teenage comments in response to our recent writing prompts, and an invitation to join the ongoing conversation."
